country,flag,hydro,coal,oil,nuclear,gas
Algeria,actual,-0.271,-3.279,-25.025999999999982,0.0,-17.045999999999992
Algeria,calc,-0.1885,-1.698,-7.873499999999993,0.0,15.491500000000002
Argentina,actual,-10.338000000000008,1.891,-33.637,3.875,-26.276999999999987
Argentina,calc,-10.544500000000003,5.927999999999999,14.529500000000013,2.091000000000001,-3.1239999999999952
Australia,calc,2.3795,-33.94499999999999,-34.141999999999996,0.0,-22.406499999999994
Australia,actual,0.9160000000000039,-18.331000000000017,-81.85000000000002,0.0,-17.39699999999999
Austria,actual,2.683000000000007,-4.913,-20.171999999999997,0.0,-3.7319999999999993
Austria,calc,-3.107999999999997,-3.7830000000000013,-6.492999999999995,0.0,0.5749999999999957
Azerbaijan,calc,-0.39149999999999996,-0.006,1.0899999999999999,0.0,5.141000000000005
Azerbaijan,actual,-1.3159999999999998,-0.003,-5.408000000000001,0.0,5.7760000000000105
Bangladesh,calc,-0.19299999999999995,-5.753999999999998,9.347000000000001,0.0,-1.6274999999999977
Bangladesh,actual,-0.32999999999999985,4.282000000000004,-19.152,0.0,-10.190999999999974
Belarus,calc,0.022999999999999965,-5.571,-4.4510000000000005,7.257,-2.01400000000001
Belarus,actual,0.1259999999999999,-5.734,-3.7169999999999987,0.852,-14.13500000000002
Belgium,calc,0.14900000000000002,-5.071000000000005,-8.921999999999997,8.137500000000003,-2.1315000000000026
Belgium,actual,-0.09500000000000008,-8.031000000000002,-51.673,-23.310000000000002,-3.8870000000000005
Brazil,actual,-7.780999999999949,-16.37899999999999,-72.84300000000007,-5.381999999999998,-43.096000000000004
Brazil,calc,-49.70699999999994,18.395999999999987,13.023500000000013,-1.9369999999999976,23.565999999999974
Bulgaria,calc,2.4439999999999995,1.8079999999999998,-1.6694999999999993,-0.23899999999999721,2.355500000000001
Bulgaria,actual,-0.3150000000000004,-10.816000000000003,-6.033999999999999,0.02400000000000091,0.8969999999999985
Canada,calc,-2.8210000000000264,-37.917,-74.58249999999998,-11.613,-0.12950000000000728
Canada,actual,8.841999999999985,-22.976,-194.952,-8.447000000000003,-33.636999999999944
Chile,calc,-4.613499999999998,-5.9739999999999895,0.41150000000000375,0.0,1.5489999999999995
Chile,actual,0.5290000000000035,-13.938999999999993,-17.99599999999998,0.0,-2.777000000000001
China,actual,116.81500000000005,480.3169999999991,68.15700000000015,40.863000000000056,282.40499999999975
China,calc,23.652499999999918,1393.2389999999978,141.29199999999992,70.5935,359.45550000000003
Colombia,actual,-12.607,-6.162000000000006,-34.23600000000002,0.0,2.5190000000000055
Colombia,calc,7.403000000000006,-22.183000000000003,9.75399999999999,0.0,-1.2209999999999965
Croatia,calc,1.6470000000000002,-0.07000000000000028,-1.8644999999999996,0.0,0.13549999999999862
Croatia,actual,-0.4859999999999989,-0.6990000000000007,-5.677,0.0,1.386999999999997
Denmark,calc,-0.0010000000000000009,1.825000000000001,-6.3145000000000024,0.0,-2.6415000000000006
Denmark,actual,0.0,-1.2649999999999988,-13.579999999999998,0.0,-5.7520000000000024
Ecuador,calc,0.9834999999999994,0.45000000000000007,-0.1144999999999925,0.0,-0.34199999999999964
Ecuador,actual,-1.0470000000000041,0.18100000000000002,-26.480999999999995,0.0,-1.0179999999999998
Egypt,actual,2.0279999999999987,-14.207999999999998,-50.93399999999997,0.0,-7.307999999999993
