C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,PopulationVaccinated,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
1.7486338797814207,1.5491803278688525,0.912568306010929,1.4754098360655739,0.825136612021858,0.8415300546448088,0.7704918032786885,1.4617486338797814,0.0,0.08469945355191257,0.0,107650.27322404372,1.4344262295081966,0.855191256830601,0.9016393442622951,680267.0765027322,0.0,1.7431693989071038,0.0,1.4918032786885247,0.0,0.0,,,,,0.0,,23228.82786885246,809.9644808743169,0.0,41.48726775956284,33.81669398907104,38.3451912568306,2.1174863387978142
1.0356164383561643,1.4684931506849315,1.4109589041095891,0.4383561643835616,0.32602739726027397,0.12054794520547946,0.2410958904109589,1.904109589041096,0.0,0.0,0.0,513636.36363636365,0.6328767123287671,0.7945205479452054,0.18082191780821918,0.0,309589.0410958904,2.5643835616438357,3.747945205479452,0.07123287671232877,1.6273972602739726,1.5671232876712329,1.6666666666666667,1.766025641025641,1.8333333333333333,1.8333333333333333,4.273972602739726,0.0,108269.53424657535,4873.857534246576,1.4013424657534246,29.24221917808219,27.471232876712328,31.395945205479453,0.0
0.0,1.441095890410959,0.9287671232876712,0.0,0.852054794520548,0.0,0.0,0.7068493150684931,0.0,0.0,,,0.0,0.27945205479452057,0.0,,0.0,2.3698630136986303,5.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,185708.39452054794,7699.232876712329,16.723972602739725,11.415643835616438,16.957506849315067,19.376849315068494,0.0
1.6530054644808743,1.5956284153005464,1.6284153005464481,3.0382513661202184,0.7158469945355191,1.1584699453551912,0.644808743169399,1.8360655737704918,0.8989071038251366,0.9836065573770492,1479640.9583561642,0.0,1.6912568306010929,1.2295081967213115,1.4180327868852458,71038.25136612022,0.0,1.9918032786885247,0.0,2.4344262295081966,0.09562841530054644,0.0,,,,,0.0,,10184.546448087433,241.46174863387978,0.0,55.19612021857923,51.81655737704918,52.82784153005465,44.740437158469945
1.7205479452054795,1.3643835616438356,1.4301369863013698,3.3232876712328765,0.0,2.0,0.09863013698630137,1.3726027397260274,1.0,1.1561643835616437,0.0,0.0,1.4794520547945205,2.452054794520548,1.2575342465753425,0.0,19884.726224783863,3.041095890410959,3.1424657534246574,1.6684931506849314,1.4273972602739726,1.5232876712328767,1.0028169014084507,1.2816901408450705,1.4873239436619718,1.4563380281690141,4.863013698630137,0.6078431372549019,140016.82465753425,2387.0575342465754,14.872739726027397,48.59090410958904,55.26331506849315,55.45879452054794,53.9041095890411
0.37534246575342467,0.6219178082191781,0.3287671232876712,0.9863013698630136,0.0,0.33424657534246577,0.0,0.3287671232876712,0.16164383561643836,0.16164383561643836,,,2.0,1.9945205479452055,0.04657534246575343,,0.0,1.9123287671232876,5.0,0.4054794520547945,2.0,3.0,2.0,2.0,2.0,2.0,5.0,1.0,295903.21643835615,3510.0575342465754,43.180904109589044,21.522547945205478,27.499917808219177,30.27490410958904,8.082191780821917
1.9262295081967213,1.5546448087431695,1.2431693989071038,2.7704918032786887,1.2513661202185793,1.639344262295082,1.1420765027322404,3.199453551912568,0.16939890710382513,1.319672131147541,1955012.1639344261,0.0,1.540983606557377,0.7786885245901639,1.0218579234972678,890710.3825136612,0.0,1.819672131147541,0.0,1.639344262295082,0.0,0.0,,,,,0.0,,28916.32513661202,1032.2568306010928,0.0,60.22428961748634,48.52912568306011,50.44732240437159,35.10928961748634
0.8356164383561644,1.4219178082191781,1.821917808219178,4.0,1.252054794520548,1.6,0.9205479452054794,2.4328767123287673,0.6273972602739726,1.095890410958904,0.0,0.0,2.0,1.884931506849315,1.8684931506849316,0.0,4860099.866863905,3.0,3.4273972602739726,1.7095890410958905,1.2438356164383562,1.2438356164383562,1.355223880597015,0.7104477611940299,0.7104477611940299,2.0,4.589041095890411,,156638.32328767123,4284.553424657534,3.3622739726027397,59.29178082191781,60.20241095890411,62.65027397260273,43.082191780821915
0.8136986301369863,1.484931506849315,1.4958904109589042,0.043835616438356165,0.0,0.0,0.0,0.8273972602739726,0.09863013698630137,0.09863013698630137,,,1.4794520547945205,2.9232876712328766,0.0,,0.0,3.0,5.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,264471.43287671235,6826.572602739726,14.082438356164383,25.554630136986304,32.01980821917808,35.888520547945205,4.931506849315069
1.2295081967213115,1.7021857923497268,1.1202185792349726,1.7377049180327868,0.7704918032786885,0.31693989071038253,0.0,1.5573770491803278,1.6065573770491803,1.3224043715846994,1205714.1609289616,1297257.8767123288,1.174863387978142,2.081967213114754,1.1912568306010929,6856.607923497268,0.0,2.081967213114754,0.0,1.6174863387978142,0.01092896174863388,0.0,,,,,0.0,,1865.6338797814208,42.32786885245902,0.0,38.21699453551913,45.33147540983607,41.34841530054644,73.22404371584699
