CountryName,Year,coal_consumption,hydro_consumption,oil_consumption,nuclear_consumption,gas_consumption,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,PopulationVaccinated,StringencyIndex_Average,GovernmentResponseIndex_Average,ContainmentHealthIndex_Average,EconomicSupportIndex
Algeria,2019,4.803,0.401,236.951,0.0,450.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,2020,1.524,0.13,211.925,0.0,433.5,1.9262295081967213,1.5546448087431695,1.2431693989071038,2.7704918032786887,1.2513661202185793,1.639344262295082,1.1420765027322404,3.199453551912568,0.16939890710382513,1.319672131147541,1955012.1639344261,0.0,1.540983606557377,0.7786885245901639,1.0218579234972678,890710.3825136612,0.0,1.819672131147541,0.0,1.639344262295082,0.0,0.0,,,,,0.0,,28916.32513661202,1032.2568306010928,0.0,60.22428961748634,48.52912568306011,50.44732240437159,35.10928961748634
Algeria,2021,3.105,0.024,221.204,0.0,481.529,0.8356164383561644,1.4219178082191781,1.821917808219178,4.0,1.252054794520548,1.6,0.9205479452054794,2.4328767123287673,0.6273972602739726,1.095890410958904,0.0,0.0,2.0,1.884931506849315,1.8684931506849316,0.0,4860099.866863905,3.0,3.4273972602739726,1.7095890410958905,1.2438356164383562,1.2438356164383562,1.355223880597015,0.7104477611940299,0.7104477611940299,2.0,4.589041095890411,,156638.32328767123,4284.553424657534,3.3622739726027397,59.29178082191781,60.20241095890411,62.65027397260273,43.082191780821915
Algeria,2022,2.175,0.042,226.853,0.0,503.387,0.8136986301369863,1.484931506849315,1.4958904109589042,0.043835616438356165,0.0,0.0,0.0,0.8273972602739726,0.09863013698630137,0.09863013698630137,,,1.4794520547945205,2.9232876712328766,0.0,,0.0,3.0,5.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.0,264471.43287671235,6826.572602739726,14.082438356164383,25.554630136986304,32.01980821917808,35.888520547945205,4.931506849315069
Algeria,2023,1.933,0.179,238.201,0.0,462.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2019,8.124,72.501,321.832,21.354,465.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,2020,10.015,62.163,288.195,25.229,439.312,2.3852459016393444,1.9480874316939891,1.6174863387978142,3.1475409836065573,1.5519125683060109,1.680327868852459,1.530054644808743,3.0546448087431695,0.7759562841530054,1.540983606557377,28879024.178054795,0.0,1.8797814207650274,1.0792349726775956,1.6557377049180328,555093.8376438357,0.0,2.1475409836065573,0.00819672131147541,1.8989071038251366,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,1.0,0.040983606557377046,,405290.7677595628,10390.234972677596,0.0,71.36551912568305,62.12841530054645,62.7298087431694,57.923497267759565
Argentina,2021,14.052,51.412,350.891,25.536,459.341,1.7178082191780821,1.5397260273972602,1.621917808219178,3.0986301369863014,1.747945205479452,1.747945205479452,1.6794520547945206,3.158904109589041,0.7780821917808219,1.0,22362649.684210528,0.0,2.0,2.0,2.0,0.0,273972.602739726,3.0,3.6904109589041094,1.0,1.5424657534246575,1.9561643835616438,1.3808219178082193,1.389041095890411,1.326027397260274,1.5424657534246575,5.0,0.0,3945783.7260273974,86797.75890410959,21.932164383561645,66.84098630136987,64.95482191780822,67.88372602739726,44.45205479452055
Argentina,2022,14.892,59.363,411.806,18.686,458.528,0.1643835616438356,0.0,0.0,0.0,0.0136986301369863,0.0136986301369863,0.2191780821917808,0.6493150684931507,0.7945205479452054,0.3972602739726027,,,2.0,2.4328767123287673,1.2246575342465753,,0.0,1.8821917808219177,5.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,0.0,9192435.567123288,127910.88219178082,75.27169863013698,19.028904109589043,33.54553424657534,34.08167123287671,29.794520547945204
Argentina,2023,12.794,77.665,391.435,22.342,449.364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2019,486.392,36.958,603.784,0.0,440.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2020,468.061,37.874,521.934,0.0,423.173,1.5765027322404372,1.6147540983606556,1.5327868852459017,3.0355191256830603,0.6229508196721312,1.1830601092896176,1.5737704918032787,3.530054644808743,0.8060109289617486,1.540983606557377,530640398.19019234,2118443.37260274,1.8442622950819672,2.139344262295082,1.8688524590163935,5083233.526857924,7711122.016338798,1.5218579234972678,0.0,1.2650273224043715,0.0,0.0,,,,,0.0,,13910.448087431694,363.23497267759564,0.0,55.85450819672131,53.106912568306015,52.359808743169395,58.333333333333336
